 109: #000000, #691e84, #398472, #d8a800, #ffffff
 110: #000000, #691e84, #398472, #d8a803, #ffffff
 111: #000000, #691e84, #398472, #d8a80c, #ffffff
 112: #000000, #691e84, #398472, #d8a815, #ffffff
 113: #000000, #691e84, #398472, #d8a81e, #ffffff
 114: #000000, #691e84, #398472, #d8a827, #ffffff
 115: #000000, #72157b, #697b72, #d8a800, #ffffff
 116: #000000, #72157b, #697b72, #d8a803, #ffffff
 117: #000000, #72157b, #697b72, #d8a80c, #ffffff
 118: #000000, #72157b, #697b72, #ff9600, #ffffff
 119: #000000, #72157b, #697b72, #ff9603, #ffffff
 120: #000000, #72157b, #697b72, #d8a815, #ffffff
 121: #000000, #72157b, #697b72, #ff960c, #ffffff
 122: #000000, #72157b, #697b72, #ff9615, #ffffff
 123: #000000, #72157b, #697b72, #d8a81e, #ffffff
 124: #000000, #72157b, #697b72, #fc961e, #ffffff
 125: #000000, #72157b, #697b72, #d8a827, #ffffff
 126: #000000, #72157b, #697b72, #fc9627, #ffffff
 127: #000000, #72157b, #697b72, #cfab30, #ffffff
 128: #000000, #72157b, #697b72, #d8a830, #ffffff
 129: #000000, #72157b, #697b72, #fc9630, #ffffff
 130: #000000, #72157b, #697b72, #cfab39, #ffffff
 131: #000000, #72157b, #697b72, #d8a839, #ffffff
 132: #000000, #72157b, #697b72, #cfab42, #ffffff
 133: #000000, #72157b, #697b72, #d8a842, #ffffff
 134: #000000, #72157b, #697b72, #cfab4b, #ffffff
 135: #000000, #72038d, #697b72, #cfab4b, #ffffff
 136: #000000, #691e84, #697b72, #cfab4b, #ffffff
 137: #000000, #69039f, #697b7b, #cfab4b, #ffffff
 138: #000000, #69039f, #697b72, #cfab4b, #ffffff
 139: #000000, #69039f, #308472, #cfab30, #ffffff
 140: #000000, #72038d, #308472, #cfab30, #ffffff
 141: #000000, #69039f, #697b7b, #cfab54, #ffffff
 142: #000000, #69039f, #697b7b, #cfab57, #ffffff
 143: #000000, #69039f, #697b72, #d8a84b, #ffffff
 144: #000000, #72038d, #697b72, #d8a84b, #ffffff
 145: #000000, #691e84, #697b72, #d8a84b, #ffffff
 146: #000000, #72157b, #697b72, #d8a84b, #ffffff
 147: #000000, #69039f, #398472, #cfab30, #ffffff
 148: #000000, #72038d, #398472, #cfab30, #ffffff
 149: #000000, #691e84, #398472, #cfab30, #ffffff
 150: #000000, #69039f, #308472, #d8a830, #ffffff
 151: #000000, #72038d, #308472, #d8a830, #ffffff
 152: #000000, #69039f, #697b72, #fc9639, #ffffff
 153: #000000, #72038d, #697b72, #fc9639, #ffffff
 154: #000000, #691e84, #697b72, #fc9639, #ffffff
 155: #000000, #72157b, #697b72, #fc9639, #ffffff
 156: #000000, #69039f, #697b72, #ea9f42, #ffffff
 157: #000000, #72038d, #697b72, #ea9f42, #ffffff
 158: #000000, #691e84, #697b72, #ea9f42, #ffffff
 159: #000000, #72157b, #697b72, #ea9f42, #ffffff
 160: #000000, #69039f, #398472, #d8a830, #ffffff
 161: #000000, #72038d, #398472, #d8a830, #ffffff
 162: #000000, #691e84, #398472, #d8a830, #ffffff
 163: #000000, #1503e1, #7b7b00, #f384ff, #ffffff
 164: #000000, #1500e1, #7b7b00, #f384ff, #ffffff
 165: #000000, #1503e1, #7b7b03, #f384ff, #ffffff
 166: #000000, #1500e1, #7b7b03, #f384ff, #ffffff
 167: #000000, #1503e1, #7b7b0c, #f384ff, #ffffff
 168: #000000, #1500e1, #7b7b0c, #f384ff, #ffffff
 169: #000000, #1503e1, #7b7b15, #f384ff, #ffffff
 170: #000000, #1500e1, #7b7b15, #f384ff, #ffffff
 171: #000000, #1503e1, #7b7b1e, #f384ff, #ffffff
 172: #000000, #1500e1, #7b7b1e, #f384ff, #ffffff
 173: #000000, #1503e1, #7b7b27, #f384ff, #ffffff
 174: #000000, #1500e1, #7b7b27, #f384ff, #ffffff
 175: #000000, #1503e1, #7b7b30, #f384ff, #ffffff
 176: #000000, #1500e1, #7b7b30, #f384ff, #ffffff
