 113: #000000, #73028e, #687b73, #dca700, #ffffff
 114: #000000, #73048e, #697b72, #dca713, #ffffff
 115: #000000, #73048e, #697b72, #dca712, #ffffff
 116: #000000, #73048e, #697b72, #dca711, #ffffff
 117: #000000, #73048e, #697b72, #dca710, #ffffff
 118: #000000, #73048e, #697b72, #dca70f, #ffffff
 119: #000000, #73048e, #697b72, #dca70e, #ffffff
 120: #000000, #73048e, #697b72, #dca70d, #ffffff
 121: #000000, #73048e, #697b72, #dca70c, #ffffff
 122: #000000, #73048e, #697b72, #dca70b, #ffffff
 123: #000000, #73048e, #697b72, #dca70a, #ffffff
 124: #000000, #73048e, #697b72, #dca709, #ffffff
 125: #000000, #73048e, #697b72, #dca708, #ffffff
 126: #000000, #73048e, #697b72, #dca707, #ffffff
 127: #000000, #73048e, #697b72, #dca706, #ffffff
 128: #000000, #73048e, #697b72, #dca705, #ffffff
 129: #000000, #73048e, #697b72, #dca704, #ffffff
 130: #000000, #73048e, #697b72, #dca703, #ffffff
 131: #000000, #73048e, #697b72, #dca702, #ffffff
 132: #000000, #73048e, #697b72, #dca700, #ffffff
 133: #000000, #73038e, #697b72, #dca713, #ffffff
 134: #000000, #73038e, #697b72, #dca712, #ffffff
 135: #000000, #73038e, #697b72, #dca711, #ffffff
 136: #000000, #73038e, #697b72, #dca710, #ffffff
 137: #000000, #73038e, #697b72, #dca70f, #ffffff
 138: #000000, #73038e, #697b72, #dca70e, #ffffff
 139: #000000, #73038e, #697b72, #dca70d, #ffffff
 140: #000000, #73038e, #697b72, #dca70c, #ffffff
 141: #000000, #73038e, #697b72, #dca70b, #ffffff
 142: #000000, #73038e, #697b72, #dca70a, #ffffff
 143: #000000, #73038e, #697b72, #dca709, #ffffff
 144: #000000, #73038e, #697b72, #dca708, #ffffff
 145: #000000, #73038e, #697b72, #dca707, #ffffff
 146: #000000, #73038e, #697b72, #dca706, #ffffff
 147: #000000, #73038e, #697b72, #dca705, #ffffff
 148: #000000, #73038e, #697b72, #dca704, #ffffff
 149: #000000, #73038e, #697b72, #dca703, #ffffff
 150: #000000, #73038e, #697b72, #dca702, #ffffff
 151: #000000, #73038e, #697b72, #dca700, #ffffff
 152: #000000, #73028e, #697b72, #dca713, #ffffff
 153: #000000, #73028e, #697b72, #dca712, #ffffff
 154: #000000, #73028e, #697b72, #dca711, #ffffff
 155: #000000, #73028e, #697b72, #dca710, #ffffff
 156: #000000, #73028e, #697b72, #dca70f, #ffffff
 157: #000000, #73028e, #697b72, #dca70e, #ffffff
 158: #000000, #73028e, #697b72, #dca70d, #ffffff
 159: #000000, #73028e, #697b72, #dca70c, #ffffff
 160: #000000, #73028e, #697b72, #dca70b, #ffffff
 161: #000000, #73028e, #697b72, #dca70a, #ffffff
 162: #000000, #73028e, #697b72, #dca709, #ffffff
 163: #000000, #73028e, #697b72, #dca708, #ffffff
 164: #000000, #73028e, #697b72, #dca707, #ffffff
 165: #000000, #73028e, #697b72, #dca706, #ffffff
 166: #000000, #73028e, #697b72, #dca705, #ffffff
 167: #000000, #73028e, #697b72, #dca704, #ffffff
 168: #000000, #73028e, #697b72, #dca703, #ffffff
 169: #000000, #73028e, #697b72, #dca702, #ffffff
 170: #000000, #73028e, #697b72, #dca700, #ffffff
 171: #000000, #73048e, #697b73, #dca713, #ffffff
 172: #000000, #73048e, #697b73, #dca712, #ffffff
 173: #000000, #73048e, #697b73, #dca711, #ffffff
 174: #000000, #73048e, #697b73, #dca710, #ffffff
 175: #000000, #73048e, #697b73, #dca70f, #ffffff
 176: #000000, #73048e, #697b73, #dca70e, #ffffff
 177: #000000, #73048e, #697b73, #dca70d, #ffffff
 178: #000000, #73048e, #697b73, #dca70c, #ffffff
 179: #000000, #73048e, #697b73, #dca70b, #ffffff
 180: #000000, #73048e, #697b73, #dca70a, #ffffff
 181: #000000, #73048e, #697b73, #dca709, #ffffff
 182: #000000, #73048e, #697b73, #dca708, #ffffff
 183: #000000, #73048e, #697b73, #dca707, #ffffff
 184: #000000, #73048e, #697b73, #dca706, #ffffff
 185: #000000, #73048e, #697b73, #dca705, #ffffff
 186: #000000, #73048e, #697b73, #dca704, #ffffff
 187: #000000, #73048e, #697b73, #dca703, #ffffff
 188: #000000, #73048e, #697b73, #dca702, #ffffff
 189: #000000, #73048e, #697b73, #dca700, #ffffff
 190: #000000, #73038e, #697b73, #dca713, #ffffff
 191: #000000, #73038e, #697b73, #dca712, #ffffff
 192: #000000, #73038e, #697b73, #dca711, #ffffff
 193: #000000, #73038e, #697b73, #dca710, #ffffff
 194: #000000, #73038e, #697b73, #dca70f, #ffffff
 195: #000000, #73038e, #697b73, #dca70e, #ffffff
 196: #000000, #73038e, #697b73, #dca70d, #ffffff
 197: #000000, #73038e, #697b73, #dca70c, #ffffff
 198: #000000, #73038e, #697b73, #dca70b, #ffffff
 199: #000000, #73038e, #697b73, #dca70a, #ffffff
 200: #000000, #73038e, #697b73, #dca709, #ffffff
 201: #000000, #73038e, #697b73, #dca708, #ffffff
 202: #000000, #73038e, #697b73, #dca707, #ffffff
 203: #000000, #73038e, #697b73, #dca706, #ffffff
 204: #000000, #73038e, #697b73, #dca705, #ffffff
 205: #000000, #73038e, #697b73, #dca704, #ffffff
 206: #000000, #73038e, #697b73, #dca703, #ffffff
 207: #000000, #73038e, #697b73, #dca702, #ffffff
 208: #000000, #73038e, #697b73, #dca700, #ffffff
 209: #000000, #73028e, #697b73, #dca713, #ffffff
 210: #000000, #73028e, #697b73, #dca712, #ffffff
 211: #000000, #73028e, #697b73, #dca711, #ffffff
 212: #000000, #73028e, #697b73, #dca710, #ffffff
 213: #000000, #73028e, #697b73, #dca70f, #ffffff
 214: #000000, #73028e, #697b73, #dca70e, #ffffff
 215: #000000, #73028e, #697b73, #dca70d, #ffffff
 216: #000000, #73028e, #697b73, #dca70c, #ffffff
 217: #000000, #73028e, #697b73, #dca70b, #ffffff
 218: #000000, #73028e, #697b73, #dca70a, #ffffff
 219: #000000, #73028e, #697b73, #dca709, #ffffff
 220: #000000, #73028e, #697b73, #dca708, #ffffff
 221: #000000, #73028e, #697b73, #dca707, #ffffff
 222: #000000, #73028e, #697b73, #dca706, #ffffff
 223: #000000, #73028e, #697b73, #dca705, #ffffff
 224: #000000, #73028e, #697b73, #dca704, #ffffff
 225: #000000, #73028e, #697b73, #dca703, #ffffff
 226: #000000, #73028e, #697b73, #dca702, #ffffff
 227: #000000, #73028e, #697b73, #dca700, #ffffff
 228: #000000, #73048e, #6a7b72, #dca713, #ffffff
 229: #000000, #73048e, #6a7b72, #dca712, #ffffff
 230: #000000, #73048e, #6a7b72, #dca711, #ffffff
 231: #000000, #73048e, #6a7b72, #dca710, #ffffff
 232: #000000, #73048e, #6a7b72, #dca70f, #ffffff
 233: #000000, #73048e, #6a7b72, #dca70e, #ffffff
 234: #000000, #73048e, #6a7b72, #dca70d, #ffffff
 235: #000000, #73048e, #6a7b72, #dca70c, #ffffff
 236: #000000, #73048e, #6a7b72, #dca70b, #ffffff
 237: #000000, #73048e, #6a7b72, #dca70a, #ffffff
 238: #000000, #73048e, #6a7b72, #dca709, #ffffff
 239: #000000, #73048e, #6a7b72, #dca708, #ffffff
 240: #000000, #73048e, #6a7b72, #dca707, #ffffff
 241: #000000, #73048e, #6a7b72, #dca706, #ffffff
 242: #000000, #73048e, #6a7b72, #dca705, #ffffff
 243: #000000, #73048e, #6a7b72, #dca704, #ffffff
 244: #000000, #73048e, #6a7b72, #dca703, #ffffff
 245: #000000, #73048e, #6a7b72, #dca702, #ffffff
 246: #000000, #73048e, #6a7b72, #dca700, #ffffff
 247: #000000, #73038e, #6a7b72, #dca713, #ffffff
 248: #000000, #73038e, #6a7b72, #dca712, #ffffff
 249: #000000, #73038e, #6a7b72, #dca711, #ffffff
 250: #000000, #73038e, #6a7b72, #dca710, #ffffff
 251: #000000, #73038e, #6a7b72, #dca70f, #ffffff
 252: #000000, #73038e, #6a7b72, #dca70e, #ffffff
 253: #000000, #73038e, #6a7b72, #dca70d, #ffffff
