 127: #000000, #6000ff, #d88427, #ffffff
 128: #000000, #4227ff, #d88427, #ffffff
 129: #000000, #5715ff, #d88427, #ffffff
 130: #000000, #2730ff, #d88427, #ffffff
 131: #000000, #541efc, #d88427, #ffffff
 132: #000000, #3030fc, #d88427, #ffffff
 133: #000000, #5427f3, #d88427, #ffffff
 134: #000000, #4230f3, #d88427, #ffffff
 135: #000000, #2739f3, #d88427, #ffffff
 136: #000000, #1e39f3, #d88427, #ffffff
 137: #000000, #3939ea, #d88427, #ffffff
 138: #000000, #0342ea, #d88427, #ffffff
 139: #000000, #0042ea, #d88427, #ffffff
 140: #000000, #2742e1, #d88427, #ffffff
 141: #000000, #3942d8, #d88427, #ffffff
 142: #000000, #1e4bcf, #d88427, #ffffff
 143: #000000, #154bcf, #d88427, #ffffff
 144: #000000, #1554b4, #ff6903, #ffffff
 145: #000000, #1554b4, #ff6900, #ffffff
 146: #000000, #0c54b4, #ff6903, #ffffff
 147: #000000, #0c54b4, #ff6900, #ffffff
 148: #000000, #0354b4, #ff6903, #ffffff
 149: #000000, #0354b4, #ff6900, #ffffff
 150: #000000, #1554b4, #ff690c, #ffffff
 151: #000000, #0c54b4, #ff690c, #ffffff
 152: #000000, #0354b4, #ff690c, #ffffff
 153: #000000, #1554b4, #ff6915, #ffffff
 154: #000000, #0c54b4, #ff6915, #ffffff
 155: #000000, #0354b4, #ff6915, #ffffff
 156: #000000, #1554b4, #f3721e, #ffffff
 157: #000000, #0c54b4, #f3721e, #ffffff
 158: #000000, #0354b4, #f3721e, #ffffff
 159: #000000, #1554b4, #d8841e, #ffffff
 160: #000000, #0c54b4, #d8841e, #ffffff
 161: #000000, #0354b4, #d8841e, #ffffff
 162: #000000, #1554b4, #d88427, #ffffff
 163: #000000, #0c54b4, #d88427, #ffffff
 164: #000000, #0354b4, #d88427, #ffffff
 165: #000000, #1554b4, #c68d27, #ffffff
 166: #000000, #0c54b4, #c68d27, #ffffff
 167: #000000, #0354b4, #c68d27, #ffffff
 168: #000000, #600cfc, #ff6903, #ffffff
 169: #000000, #600cfc, #ff6900, #ffffff
 170: #000000, #600cfc, #ff690c, #ffffff
 171: #000000, #600cfc, #ff6915, #ffffff
 172: #000000, #600cfc, #f3721e, #ffffff
 173: #000000, #600cfc, #d8841e, #ffffff
 174: #000000, #600cfc, #d88427, #ffffff
 175: #000000, #600cfc, #c68d27, #ffffff
 176: #000000, #6003ff, #ff691e, #ffffff
 177: #000000, #6000ff, #ff691e, #ffffff
 178: #000000, #4227ff, #ff691e, #ffffff
 179: #000000, #5715ff, #ff691e, #ffffff
 180: #000000, #600cfc, #ff691e, #ffffff
 181: #000000, #2730ff, #ff691e, #ffffff
 182: #000000, #541efc, #ff691e, #ffffff
 183: #000000, #3030fc, #ff691e, #ffffff
 184: #000000, #5427f3, #ff691e, #ffffff
 185: #000000, #4230f3, #ff691e, #ffffff
 186: #000000, #2739f3, #ff691e, #ffffff
 187: #000000, #1e39f3, #ff691e, #ffffff
 188: #000000, #3939ea, #ff691e, #ffffff
 189: #000000, #0342ea, #ff691e, #ffffff
 190: #000000, #0042ea, #ff691e, #ffffff
 191: #000000, #2742e1, #ff691e, #ffffff
 192: #000000, #3942d8, #ff691e, #ffffff
 193: #000000, #1e4bcf, #ff691e, #ffffff
 194: #000000, #154bcf, #ff691e, #ffffff
 195: #000000, #1554b4, #ff691e, #ffffff
 196: #000000, #0c54b4, #ff691e, #ffffff
 197: #000000, #0354b4, #ff691e, #ffffff
