 127: #000000, #521dfc, #d5861a, #ffffff
 128: #000000, #5120fc, #d5861a, #ffffff
 129: #000000, #511ffc, #d5861a, #ffffff
 130: #000000, #511efc, #d5861a, #ffffff
 131: #000000, #511dfc, #d5861a, #ffffff
 132: #000000, #5022fb, #d5861a, #ffffff
 133: #000000, #5021fc, #d5861a, #ffffff
 134: #000000, #5020fc, #d5861a, #ffffff
 135: #000000, #501ffc, #d5861a, #ffffff
 136: #000000, #501efc, #d5861a, #ffffff
 137: #000000, #551efb, #d5861a, #ffffff
 138: #000000, #551dfb, #d5861a, #ffffff
 139: #000000, #541ffb, #d5861a, #ffffff
 140: #000000, #541efb, #d5861a, #ffffff
 141: #000000, #5321fa, #d5861a, #ffffff
 142: #000000, #5222fa, #d5861a, #ffffff
 143: #000000, #5221fb, #d5861a, #ffffff
 144: #000000, #5122fb, #d5861a, #ffffff
 145: #000000, #2d2ffd, #d5861a, #ffffff
 146: #000000, #2c2ffd, #d5861a, #ffffff
 147: #000000, #342ffc, #d5861a, #ffffff
 148: #000000, #332ffc, #d5861a, #ffffff
 149: #000000, #3230fc, #d5861a, #ffffff
 150: #000000, #322ffc, #d5861a, #ffffff
 151: #000000, #3130fc, #d5861a, #ffffff
 152: #000000, #312ffc, #d5861a, #ffffff
 153: #000000, #3031fc, #d5861a, #ffffff
 154: #000000, #3030fc, #d5861a, #ffffff
 155: #000000, #302ffc, #d5861a, #ffffff
 156: #000000, #2f31fc, #d5861a, #ffffff
 157: #000000, #2f30fc, #d5861a, #ffffff
 158: #000000, #2e31fc, #d5861a, #ffffff
 159: #000000, #2e30fc, #d5861a, #ffffff
 160: #000000, #2d31fc, #d5861a, #ffffff
 161: #000000, #2d30fc, #d5861a, #ffffff
 162: #000000, #2c31fc, #d5861a, #ffffff
 163: #000000, #3430fb, #d5861a, #ffffff
 164: #000000, #3331fb, #d5861a, #ffffff
 165: #000000, #3231fb, #d5861a, #ffffff
 166: #000000, #551cfb, #d5861a, #ffffff
 167: #000000, #541dfb, #d5861a, #ffffff
 168: #000000, #541cfb, #d5861a, #ffffff
 169: #000000, #531ffb, #d5861a, #ffffff
 170: #000000, #531efb, #d5861a, #ffffff
 171: #000000, #531dfb, #d5861a, #ffffff
 172: #000000, #5221fa, #d5861a, #ffffff
 173: #000000, #5220fb, #d5861a, #ffffff
 174: #000000, #5220fa, #d5861a, #ffffff
 175: #000000, #521ffb, #d5861a, #ffffff
 176: #000000, #521efb, #d5861a, #ffffff
 177: #000000, #5122fa, #d5861a, #ffffff
 178: #000000, #5121fb, #d5861a, #ffffff
 179: #000000, #5121fa, #d5861a, #ffffff
 180: #000000, #5120fb, #d5861a, #ffffff
 181: #000000, #5120fa, #d5861a, #ffffff
 182: #000000, #511ffb, #d5861a, #ffffff
 183: #000000, #5022fa, #d5861a, #ffffff
 184: #000000, #5021fb, #d5861a, #ffffff
 185: #000000, #5021fa, #d5861a, #ffffff
 186: #000000, #5020fb, #d5861a, #ffffff
 187: #000000, #501ffb, #d5861a, #ffffff
 188: #000000, #5521f9, #d5861a, #ffffff
 189: #000000, #5520fa, #d5861a, #ffffff
 190: #000000, #551ffa, #d5861a, #ffffff
 191: #000000, #551efa, #d5861a, #ffffff
 192: #000000, #5422f9, #d5861a, #ffffff
 193: #000000, #5421f9, #d5861a, #ffffff
 194: #000000, #5420fa, #d5861a, #ffffff
 195: #000000, #541ffa, #d5861a, #ffffff
 196: #000000, #5322f9, #d5861a, #ffffff
 197: #000000, #5321f9, #d5861a, #ffffff
 198: #000000, #5320fa, #d5861a, #ffffff
 199: #000000, #5222f9, #d5861a, #ffffff
 200: #000000, #2f2ffc, #d5861a, #ffffff
 201: #000000, #2c30fc, #d5861a, #ffffff
 202: #000000, #342ffb, #d5861a, #ffffff
 203: #000000, #3330fb, #d5861a, #ffffff
 204: #000000, #332ffb, #d5861a, #ffffff
 205: #000000, #3230fb, #d5861a, #ffffff
 206: #000000, #322ffb, #d5861a, #ffffff
 207: #000000, #3131fb, #d5861a, #ffffff
 208: #000000, #3130fb, #d5861a, #ffffff
 209: #000000, #312ffb, #d5861a, #ffffff
 210: #000000, #3031fb, #d5861a, #ffffff
 211: #000000, #3030fb, #d5861a, #ffffff
 212: #000000, #2f31fb, #d5861a, #ffffff
 213: #000000, #2f30fb, #d5861a, #ffffff
 214: #000000, #2e31fb, #d5861a, #ffffff
 215: #000000, #2e30fb, #d5861a, #ffffff
 216: #000000, #2d31fb, #d5861a, #ffffff
 217: #000000, #2c31fb, #d5861a, #ffffff
 218: #000000, #3431fa, #d5861a, #ffffff
 219: #000000, #3331fa, #d5861a, #ffffff
 220: #000000, #3132fa, #d5861a, #ffffff
 221: #000000, #2f33fa, #d5861a, #ffffff
 222: #000000, #2e33fa, #d5861a, #ffffff
 223: #000000, #541efa, #d5861a, #ffffff
 224: #000000, #541dfa, #d5861a, #ffffff
 225: #000000, #531ffa, #d5861a, #ffffff
 226: #000000, #531efa, #d5861a, #ffffff
 227: #000000, #5221f9, #d5861a, #ffffff
 228: #000000, #5122f9, #d5861a, #ffffff
 229: #000000, #5121f9, #d5861a, #ffffff
 230: #000000, #5022f9, #d5861a, #ffffff
 231: #000000, #3430fa, #d5861a, #ffffff
 232: #000000, #342ffa, #d5861a, #ffffff
 233: #000000, #3330fa, #d5861a, #ffffff
 234: #000000, #3231fa, #d5861a, #ffffff
 235: #000000, #3230fa, #d5861a, #ffffff
