 131: #000000, #123cf0, #de8100, #ffffff
 132: #000000, #033ff0, #de8100, #ffffff
 133: #000000, #003ff0, #de8100, #ffffff
 134: #000000, #3f36ed, #de8100, #ffffff
 135: #000000, #3c36ed, #de8100, #ffffff
 136: #000000, #3639ed, #de8100, #ffffff
 137: #000000, #3339ed, #de8100, #ffffff
 138: #000000, #3039ed, #de8100, #ffffff
 139: #000000, #2a3ced, #de8100, #ffffff
 140: #000000, #273ced, #de8100, #ffffff
 141: #000000, #243ced, #de8100, #ffffff
 142: #000000, #183fed, #de8100, #ffffff
 143: #000000, #153fed, #de8100, #ffffff
 144: #000000, #123fed, #de8100, #ffffff
 145: #000000, #213ced, #de8100, #ffffff
 146: #000000, #0f3fed, #de8100, #ffffff
 147: #000000, #0c3fed, #de8100, #ffffff
 148: #000000, #093fed, #de8100, #ffffff
 149: #000000, #063fed, #de8100, #ffffff
 150: #000000, #033fed, #de8100, #ffffff
 151: #000000, #003fed, #de8100, #ffffff
 152: #000000, #3c39ea, #de8100, #ffffff
 153: #000000, #3939ea, #de8100, #ffffff
 154: #000000, #303cea, #de8100, #ffffff
 155: #000000, #243fea, #de8100, #ffffff
 156: #000000, #3639ea, #de8100, #ffffff
 157: #000000, #2d3cea, #de8100, #ffffff
 158: #000000, #2a3cea, #de8100, #ffffff
 159: #000000, #213fea, #de8100, #ffffff
 160: #000000, #1e3fea, #de8100, #ffffff
 161: #000000, #1b3fea, #de8100, #ffffff
 162: #000000, #0342ea, #de8100, #ffffff
 163: #000000, #0042ea, #de8100, #ffffff
 164: #000000, #183fea, #de8100, #ffffff
 165: #000000, #153fea, #de8100, #ffffff
 166: #000000, #393ce7, #de8100, #ffffff
 167: #000000, #363ce7, #de8100, #ffffff
 168: #000000, #333ce7, #de8100, #ffffff
 169: #000000, #2a3fe7, #de8100, #ffffff
 170: #000000, #273fe7, #de8100, #ffffff
 171: #000000, #243fe7, #de8100, #ffffff
 172: #000000, #213fe7, #de8100, #ffffff
 173: #000000, #1842e7, #de8100, #ffffff
 174: #000000, #1542e7, #de8100, #ffffff
 175: #000000, #1242e7, #de8100, #ffffff
 176: #000000, #0f42e7, #de8100, #ffffff
 177: #000000, #0c42e7, #de8100, #ffffff
 178: #000000, #0942e7, #de8100, #ffffff
 179: #000000, #0642e7, #de8100, #ffffff
 180: #000000, #0342e7, #de8100, #ffffff
 181: #000000, #0042e7, #de8100, #ffffff
 182: #000000, #333fe4, #de8100, #ffffff
 183: #000000, #303fe4, #de8100, #ffffff
 184: #000000, #2d3fe4, #de8100, #ffffff
 185: #000000, #2442e4, #de8100, #ffffff
 186: #000000, #2142e4, #de8100, #ffffff
 187: #000000, #2a3fe4, #de8100, #ffffff
 188: #000000, #1e42e4, #de8100, #ffffff
 189: #000000, #1b42e4, #de8100, #ffffff
 190: #000000, #1842e4, #de8100, #ffffff
