 126: #000000, #3c39ea, #d8841e, #ffffff
 127: #000000, #3939ea, #d8841e, #ffffff
 128: #000000, #3639ea, #d8841e, #ffffff
 129: #000000, #0342ea, #d8841e, #ffffff
 130: #000000, #0042ea, #d8841e, #ffffff
 131: #000000, #393ce7, #d8841e, #ffffff
 132: #000000, #3c39e7, #d8841e, #ffffff
 133: #000000, #363ce7, #d8841e, #ffffff
 134: #000000, #0642e7, #d8841e, #ffffff
 135: #000000, #0342e7, #d8841e, #ffffff
 136: #000000, #0042e7, #d8841e, #ffffff
 137: #000000, #2442e4, #d8841e, #ffffff
 138: #000000, #2a3fe4, #d8841e, #ffffff
 139: #000000, #2a42e1, #d8841e, #ffffff
 140: #000000, #2742e1, #d8841e, #ffffff
 141: #000000, #2442e1, #d8841e, #ffffff
 142: #000000, #2a42de, #d8841e, #ffffff
 143: #000000, #3642db, #d8841e, #ffffff
 144: #000000, #154bd2, #d8841e, #ffffff
 145: #000000, #124bd2, #d8841e, #ffffff
 146: #000000, #214bcf, #d8841e, #ffffff
 147: #000000, #1e4bcf, #d8841e, #ffffff
 148: #000000, #1b4bcf, #d8841e, #ffffff
 149: #000000, #184bcf, #d8841e, #ffffff
 150: #000000, #154bcf, #d8841e, #ffffff
 151: #000000, #124bcf, #d8841e, #ffffff
 152: #000000, #214bcc, #d8841b, #ffffff
 153: #000000, #1e4bcc, #d8841b, #ffffff
 154: #000000, #214bcc, #d8841e, #ffffff
 155: #000000, #1e4bcc, #d8841e, #ffffff
 156: #000000, #0f54b7, #d8841b, #ffffff
 157: #000000, #0c54b7, #d8841b, #ffffff
 158: #000000, #0954b7, #d8841b, #ffffff
 159: #000000, #0654b7, #d8841b, #ffffff
 160: #000000, #0354b7, #d8841b, #ffffff
 161: #000000, #0f54b7, #d8841e, #ffffff
 162: #000000, #0c54b7, #d8841e, #ffffff
 163: #000000, #0954b7, #d8841e, #ffffff
 164: #000000, #0654b7, #d8841e, #ffffff
 165: #000000, #0354b7, #d8841e, #ffffff
 166: #000000, #5a12ff, #d5871b, #ffffff
 167: #000000, #4227ff, #d5871b, #ffffff
 168: #000000, #5715ff, #d5871b, #ffffff
 169: #000000, #5712ff, #d5871b, #ffffff
 170: #000000, #3f27ff, #d5871b, #ffffff
 171: #000000, #2a30ff, #d5871b, #ffffff
 172: #000000, #4524ff, #d5871b, #ffffff
 173: #000000, #2730ff, #d5871b, #ffffff
 174: #000000, #2430ff, #d5871b, #ffffff
 175: #000000, #541efc, #d5871b, #ffffff
 176: #000000, #5121fc, #d5871b, #ffffff
 177: #000000, #3330fc, #d5871b, #ffffff
 178: #000000, #541bfc, #d5871b, #ffffff
 179: #000000, #511efc, #d5871b, #ffffff
 180: #000000, #3030fc, #d5871b, #ffffff
 181: #000000, #2d30fc, #d5871b, #ffffff
 182: #000000, #5421f9, #d5871b, #ffffff
 183: #000000, #5121f9, #d5871b, #ffffff
 184: #000000, #3033f9, #d5871b, #ffffff
 185: #000000, #3330f9, #d5871b, #ffffff
 186: #000000, #2d33f9, #d5871b, #ffffff
 187: #000000, #5127f6, #d5871b, #ffffff
 188: #000000, #5124f6, #d5871b, #ffffff
 189: #000000, #452df6, #d5871b, #ffffff
 190: #000000, #3f30f6, #d5871b, #ffffff
 191: #000000, #422df6, #d5871b, #ffffff
 192: #000000, #2a36f6, #d5871b, #ffffff
 193: #000000, #2736f6, #d5871b, #ffffff
 194: #000000, #2436f6, #d5871b, #ffffff
 195: #000000, #1e39f6, #d5871b, #ffffff
 196: #000000, #1b39f6, #d5871b, #ffffff
 197: #000000, #4530f3, #d5871b, #ffffff
 198: #000000, #4230f3, #d5871b, #ffffff
 199: #000000, #2739f3, #d5871b, #ffffff
 200: #000000, #2439f3, #d5871b, #ffffff
 201: #000000, #2139f3, #d5871b, #ffffff
 202: #000000, #1e39f3, #d5871b, #ffffff
 203: #000000, #4530f0, #d5871b, #ffffff
 204: #000000, #4233f0, #d5871b, #ffffff
 205: #000000, #3f33f0, #d5871b, #ffffff
 206: #000000, #2a39f0, #d5871b, #ffffff
 207: #000000, #213cf0, #d5871b, #ffffff
 208: #000000, #1e3cf0, #d5871b, #ffffff
 209: #000000, #2739f0, #d5871b, #ffffff
 210: #000000, #1b3cf0, #d5871b, #ffffff
 211: #000000, #3c36ed, #d5871b, #ffffff
 212: #000000, #3639ed, #d5871b, #ffffff
 213: #000000, #063fed, #d5871b, #ffffff
 214: #000000, #033fed, #d5871b, #ffffff
 215: #000000, #003fed, #d5871b, #ffffff
 216: #000000, #3c39ea, #d5871b, #ffffff
 217: #000000, #3939ea, #d5871b, #ffffff
 218: #000000, #3639ea, #d5871b, #ffffff
 219: #000000, #0342ea, #d5871b, #ffffff
 220: #000000, #0042ea, #d5871b, #ffffff
 221: #000000, #393ce7, #d5871b, #ffffff
 222: #000000, #3c39e7, #d5871b, #ffffff
 223: #000000, #363ce7, #d5871b, #ffffff
 224: #000000, #0642e7, #d5871b, #ffffff
 225: #000000, #0342e7, #d5871b, #ffffff
 226: #000000, #0042e7, #d5871b, #ffffff
 227: #000000, #2442e4, #d5871b, #ffffff
 228: #000000, #2a3fe4, #d5871b, #ffffff
 229: #000000, #2a42e1, #d5871b, #ffffff
 230: #000000, #2742e1, #d5871b, #ffffff
 231: #000000, #2442e1, #d5871b, #ffffff
 232: #000000, #2a42de, #d5871b, #ffffff
 233: #000000, #3642db, #d5871b, #ffffff
 234: #000000, #154bd2, #d5871b, #ffffff
 235: #000000, #124bd2, #d5871b, #ffffff
 236: #000000, #214bcf, #d5871b, #ffffff
 237: #000000, #1e4bcf, #d5871b, #ffffff
 238: #000000, #1b4bcf, #d5871b, #ffffff
 239: #000000, #184bcf, #d5871b, #ffffff
 240: #000000, #154bcf, #d5871b, #ffffff
 241: #000000, #124bcf, #d5871b, #ffffff
 242: #000000, #214bcc, #d5871b, #ffffff
 243: #000000, #1e4bcc, #d5871b, #ffffff
 244: #000000, #0f54b7, #d5871b, #ffffff
 245: #000000, #0c54b7, #d5871b, #ffffff
 246: #000000, #0954b7, #d5871b, #ffffff
 247: #000000, #0654b7, #d5871b, #ffffff
