diff #95 at coord 26,2698: (144, 144, 144) != (145, 145, 145)
diff #96 at coord 26,3212: (173, 173, 173) != (174, 174, 174)
diff #97 at coord 26,3228: (173, 173, 173) != (174, 174, 174)
diff #98 at coord 26,3244: (173, 173, 173) != (174, 174, 174)
diff #99 at coord 26,3260: (173, 173, 173) != (174, 174, 174)
diff #100 at coord 26,3742: (202, 202, 202) != (203, 203, 203)
diff #101 at coord 26,3758: (202, 202, 202) != (203, 203, 203)
diff #102 at coord 26,3774: (202, 202, 202) != (203, 203, 203)
diff #103 at coord 26,3790: (202, 202, 202) != (203, 203, 203)
diff #104 at coord 26,3806: (202, 202, 202) != (203, 203, 203)
diff #105 at coord 27,3212: (173, 173, 173) != (174, 174, 174)
diff #106 at coord 27,3228: (173, 173, 173) != (174, 174, 174)
diff #107 at coord 27,3244: (173, 173, 173) != (174, 174, 174)
diff #108 at coord 27,3742: (202, 202, 202) != (203, 203, 203)
diff #109 at coord 27,3758: (202, 202, 202) != (203, 203, 203)
diff #110 at coord 27,3774: (202, 202, 202) != (203, 203, 203)
diff #111 at coord 27,3790: (202, 202, 202) != (203, 203, 203)
diff #112 at coord 27,3806: (202, 202, 202) != (203, 203, 203)
diff #113 at coord 28,3196: (173, 173, 173) != (174, 174, 174)
diff #114 at coord 28,3212: (173, 173, 173) != (174, 174, 174)
diff #115 at coord 28,3228: (173, 173, 173) != (174, 174, 174)
diff #116 at coord 28,3244: (173, 173, 173) != (174, 174, 174)
diff #117 at coord 28,3742: (202, 202, 202) != (203, 203, 203)
diff #118 at coord 28,3758: (202, 202, 202) != (203, 203, 203)
diff #119 at coord 28,3774: (202, 202, 202) != (203, 203, 203)
diff #120 at coord 28,3790: (202, 202, 202) != (203, 203, 203)
diff #121 at coord 28,3806: (202, 202, 202) != (203, 203, 203)
diff #122 at coord 29,3196: (173, 173, 173) != (174, 174, 174)
diff #123 at coord 29,3212: (173, 173, 173) != (174, 174, 174)
diff #124 at coord 29,3228: (173, 173, 173) != (174, 174, 174)
