 168: #000000, #c708ef, #ffffff
 169: #000000, #c707ef, #ffffff
 170: #000000, #c706ef, #ffffff
 171: #000000, #c705ef, #ffffff
 172: #000000, #c704ef, #ffffff
 173: #000000, #c703ef, #ffffff
 174: #000000, #c803ef, #ffffff
 175: #000000, #c802ef, #ffffff
 176: #000000, #c801ef, #ffffff
 177: #000000, #c31aec, #ffffff
 178: #000000, #c319ed, #ffffff
 179: #000000, #c318ed, #ffffff
 180: #000000, #c317ee, #ffffff
 181: #000000, #c317ed, #ffffff
 182: #000000, #c316ee, #ffffff
 183: #000000, #c315ee, #ffffff
 184: #000000, #c705ee, #ffffff
 185: #000000, #c704ee, #ffffff
 186: #000000, #c703ee, #ffffff
 187: #000000, #c60cee, #ffffff
 188: #000000, #bf27e7, #ffffff
 189: #000000, #c115f2, #ffffff
 190: #000000, #c216f0, #ffffff
 191: #000000, #c214f1, #ffffff
 192: #000000, #c213f1, #ffffff
 193: #000000, #c31aed, #ffffff
 194: #000000, #c31de8, #ffffff
 195: #000000, #c221e8, #ffffff
 196: #000000, #c124e8, #ffffff
 197: #000000, #c40cf1, #ffffff
 198: #000000, #c318ee, #ffffff
 199: #000000, #c315ef, #ffffff
 200: #000000, #c314ef, #ffffff
 201: #000000, #c313ef, #ffffff
 202: #000000, #c708ee, #ffffff
 203: #000000, #c707ee, #ffffff
 204: #000000, #c706ee, #ffffff
 205: #000000, #c30cf4, #ffffff
 206: #000000, #c30bf4, #ffffff
 207: #000000, #c30af4, #ffffff
 208: #000000, #c309f4, #ffffff
 209: #000000, #c308f4, #ffffff
 210: #000000, #c307f4, #ffffff
 211: #000000, #c304f5, #ffffff
 212: #000000, #c025e7, #ffffff
 213: #000000, #bd2ae8, #ffffff
 214: #000000, #c60aed, #ffffff
 215: #000000, #c609ed, #ffffff
 216: #000000, #c608ed, #ffffff
 217: #000000, #c511ed, #ffffff
 218: #000000, #c510ed, #ffffff
 219: #000000, #c417ed, #ffffff
 220: #000000, #c416ed, #ffffff
 221: #000000, #c515ee, #ffffff
 222: #000000, #c514ee, #ffffff
 223: #000000, #c513ee, #ffffff
 224: #000000, #c512ee, #ffffff
 225: #000000, #c511ee, #ffffff
 226: #000000, #c50fef, #ffffff
 227: #000000, #c50eef, #ffffff
 228: #000000, #c024e8, #ffffff
 229: #000000, #c411f1, #ffffff
 230: #000000, #c410f1, #ffffff
 231: #000000, #c40ff1, #ffffff
 232: #000000, #c40ef2, #ffffff
 233: #000000, #c40ef1, #ffffff
 234: #000000, #c40df2, #ffffff
 235: #000000, #c40df1, #ffffff
 236: #000000, #c40cf2, #ffffff
 237: #000000, #c40bf2, #ffffff
 238: #000000, #c40af2, #ffffff
 239: #000000, #c409f2, #ffffff
 240: #000000, #c408f3, #ffffff
 241: #000000, #c408f2, #ffffff
 242: #000000, #c407f3, #ffffff
 243: #000000, #c407f2, #ffffff
 244: #000000, #c406f3, #ffffff
 245: #000000, #c405f3, #ffffff
 246: #000000, #c404f3, #ffffff
 247: #000000, #be29e7, #ffffff
 248: #000000, #be28e8, #ffffff
 249: #000000, #c205f7, #ffffff
 250: #000000, #c803ee, #ffffff
 251: #000000, #c802ee, #ffffff
 252: #000000, #c801ee, #ffffff
 253: #000000, #c800ee, #ffffff
 254: #000000, #c70cee, #ffffff
 255: #000000, #c70bee, #ffffff
 256: #000000, #c70aee, #ffffff
 257: #000000, #c709ee, #ffffff
 258: #000000, #c307f5, #ffffff
 259: #000000, #c306f5, #ffffff
 260: #000000, #c305f5, #ffffff
 261: #000000, #c303f6, #ffffff
 262: #000000, #c302f6, #ffffff
 263: #000000, #bd29e9, #ffffff
 264: #000000, #c513ef, #ffffff
 265: #000000, #c512ef, #ffffff
 266: #000000, #c511ef, #ffffff
 267: #000000, #c510f0, #ffffff
 268: #000000, #c510ef, #ffffff
 269: #000000, #c50ff0, #ffffff
 270: #000000, #c50ef0, #ffffff
 271: #000000, #c50df0, #ffffff
 272: #000000, #c50cf1, #ffffff
 273: #000000, #c50cf0, #ffffff
 274: #000000, #c50bf1, #ffffff
 275: #000000, #c50bf0, #ffffff
 276: #000000, #c50af1, #ffffff
 277: #000000, #c50af0, #ffffff
 278: #000000, #c509f1, #ffffff
 279: #000000, #c508f1, #ffffff
 280: #000000, #c507f1, #ffffff
 281: #000000, #c506f1, #ffffff
 282: #000000, #c40af3, #ffffff
 283: #000000, #c409f3, #ffffff
 284: #000000, #c406f4, #ffffff
 285: #000000, #c405f4, #ffffff
 286: #000000, #c404f4, #ffffff
 287: #000000, #c403f4, #ffffff
 288: #000000, #c402f4, #ffffff
 289: #000000, #c401f4, #ffffff
 290: #000000, #c026e8, #ffffff
 291: #000000, #c025e9, #ffffff
 292: #000000, #c025e8, #ffffff
 293: #000000, #c024e9, #ffffff
 294: #000000, #c023ea, #ffffff
 295: #000000, #c023e9, #ffffff
 296: #000000, #c022ea, #ffffff
 297: #000000, #c705ed, #ffffff
 298: #000000, #c704ed, #ffffff
 299: #000000, #c703ed, #ffffff
 300: #000000, #c702ed, #ffffff
 301: #000000, #c60ded, #ffffff
 302: #000000, #c60ced, #ffffff
 303: #000000, #c60bed, #ffffff
 304: #000000, #c513ed, #ffffff
 305: #000000, #c512ed, #ffffff
 306: #000000, #bf26ea, #ffffff
 307: #000000, #bf25ea, #ffffff
 308: #000000, #bf24eb, #ffffff
 309: #000000, #c124e7, #ffffff
 310: #000000, #c123e7, #ffffff
 311: #000000, #c027e7, #ffffff
 312: #000000, #c026e7, #ffffff
 313: #000000, #c804ee, #ffffff
 314: #000000, #c70dee, #ffffff
 315: #000000, #be24ed, #ffffff
 316: #000000, #c606f3, #ffffff
 317: #000000, #c605f3, #ffffff
 318: #000000, #c604f3, #ffffff
 319: #000000, #c603f3, #ffffff
 320: #000000, #c602f3, #ffffff
 321: #000000, #c601f3, #ffffff
 322: #000000, #c600f3, #ffffff
 323: #000000, #c11ded, #ffffff
 324: #000000, #c022eb, #ffffff
 325: #000000, #c021eb, #ffffff
 326: #000000, #be2ae6, #ffffff
 327: #000000, #c612ee, #ffffff
 328: #000000, #c611ee, #ffffff
 329: #000000, #c610ee, #ffffff
 330: #000000, #c60fee, #ffffff
 331: #000000, #c60eee, #ffffff
 332: #000000, #c60dee, #ffffff
 333: #000000, #c708ed, #ffffff
 334: #000000, #c707ed, #ffffff
 335: #000000, #c706ed, #ffffff
 336: #000000, #c610ed, #ffffff
 337: #000000, #c60fed, #ffffff
 338: #000000, #c60eed, #ffffff
 339: #000000, #bf23ec, #ffffff
 340: #000000, #c21eeb, #ffffff
 341: #000000, #c601f4, #ffffff
 342: #000000, #c600f4, #ffffff
 343: #000000, #c31ee7, #ffffff
 344: #000000, #c222e7, #ffffff
 345: #000000, #c221e7, #ffffff
 346: #000000, #c125e7, #ffffff
 347: #000000, #c028e7, #ffffff
 348: #000000, #c511ec, #ffffff
 349: #000000, #c417ec, #ffffff
 350: #000000, #c31bec, #ffffff
 351: #000000, #c708f0, #ffffff
 352: #000000, #c707f0, #ffffff
 353: #000000, #c706f0, #ffffff
 354: #000000, #c705f1, #ffffff
 355: #000000, #c704f1, #ffffff
 356: #000000, #c703f1, #ffffff
 357: #000000, #c702f1, #ffffff
 358: #000000, #c700f2, #ffffff
 359: #000000, #c11fed, #ffffff
 360: #000000, #c11eed, #ffffff
 361: #000000, #c11dee, #ffffff
 362: #000000, #c11cee, #ffffff
 363: #000000, #c11bef, #ffffff
 364: #000000, #c11bee, #ffffff
 365: #000000, #c11aef, #ffffff
 366: #000000, #c01df0, #ffffff
 367: #000000, #c01cf0, #ffffff
 368: #000000, #c01bf0, #ffffff
 369: #000000, #c21feb, #ffffff
 370: #000000, #c21eec, #ffffff
 371: #000000, #c21ded, #ffffff
 372: #000000, #c21dec, #ffffff
 373: #000000, #c21ced, #ffffff
 374: #000000, #c21cec, #ffffff
 375: #000000, #c21bed, #ffffff
 376: #000000, #c21aed, #ffffff
 377: #000000, #c802ed, #ffffff
 378: #000000, #c801ed, #ffffff
 379: #000000, #c800ed, #ffffff
 380: #000000, #c70bed, #ffffff
 381: #000000, #c70aed, #ffffff
 382: #000000, #c709ed, #ffffff
 383: #000000, #c612ed, #ffffff
 384: #000000, #c611ed, #ffffff
 385: #000000, #c026e6, #ffffff
 386: #000000, #bf28e6, #ffffff
 387: #000000, #c702f2, #ffffff
 388: #000000, #c701f2, #ffffff
 389: #000000, #c700f3, #ffffff
 390: #000000, #c11cef, #ffffff
 391: #000000, #c11af0, #ffffff
 392: #000000, #c119f0, #ffffff
 393: #000000, #c118f0, #ffffff
 394: #000000, #c704ec, #ffffff
 395: #000000, #c60dec, #ffffff
 396: #000000, #c60cec, #ffffff
 397: #000000, #c60bec, #ffffff
 398: #000000, #c513ec, #ffffff
 399: #000000, #c512ec, #ffffff
 400: #000000, #c418ec, #ffffff
 401: #000000, #c31cec, #ffffff
 402: #000000, #c01bf1, #ffffff
 403: #000000, #c01af1, #ffffff
