 167: #000000, #c50af1, #ffffff
 168: #000000, #c50af0, #ffffff
 169: #000000, #c509f1, #ffffff
 170: #000000, #c508f1, #ffffff
 171: #000000, #c507f1, #ffffff
 172: #000000, #c506f1, #ffffff
 173: #000000, #c026e8, #ffffff
 174: #000000, #c025e9, #ffffff
 175: #000000, #c024e9, #ffffff
 176: #000000, #c023ea, #ffffff
 177: #000000, #c023e9, #ffffff
 178: #000000, #c60ded, #ffffff
 179: #000000, #c60ced, #ffffff
 180: #000000, #c60bed, #ffffff
 181: #000000, #c513ed, #ffffff
 182: #000000, #c512ed, #ffffff
 183: #000000, #bf26ea, #ffffff
 184: #000000, #bf25ea, #ffffff
 185: #000000, #bf24eb, #ffffff
 186: #000000, #c027e7, #ffffff
 187: #000000, #c026e7, #ffffff
 188: #000000, #c804ee, #ffffff
 189: #000000, #c70dee, #ffffff
 190: #000000, #c606f3, #ffffff
 191: #000000, #c605f3, #ffffff
 192: #000000, #c604f3, #ffffff
 193: #000000, #c603f3, #ffffff
 194: #000000, #c602f3, #ffffff
 195: #000000, #c600f3, #ffffff
 196: #000000, #c612ee, #ffffff
 197: #000000, #c611ee, #ffffff
 198: #000000, #c610ee, #ffffff
 199: #000000, #c60fee, #ffffff
 200: #000000, #c60eee, #ffffff
 201: #000000, #c60dee, #ffffff
 202: #000000, #c708ed, #ffffff
 203: #000000, #c610ed, #ffffff
 204: #000000, #c60fed, #ffffff
 205: #000000, #c60eed, #ffffff
 206: #000000, #bf23ec, #ffffff
 207: #000000, #c21eeb, #ffffff
 208: #000000, #c600f4, #ffffff
 209: #000000, #c31ee7, #ffffff
 210: #000000, #c222e7, #ffffff
 211: #000000, #c221e7, #ffffff
 212: #000000, #c028e7, #ffffff
 213: #000000, #c511ec, #ffffff
 214: #000000, #c417ec, #ffffff
 215: #000000, #c31bec, #ffffff
 216: #000000, #c708f0, #ffffff
 217: #000000, #c707f0, #ffffff
 218: #000000, #c706f0, #ffffff
 219: #000000, #c705f1, #ffffff
 220: #000000, #c704f1, #ffffff
 221: #000000, #c703f1, #ffffff
 222: #000000, #c702f1, #ffffff
 223: #000000, #c700f2, #ffffff
 224: #000000, #c11bef, #ffffff
 225: #000000, #c11aef, #ffffff
 226: #000000, #c01df0, #ffffff
 227: #000000, #c01cf0, #ffffff
 228: #000000, #c01bf0, #ffffff
 229: #000000, #c21feb, #ffffff
 230: #000000, #c21ced, #ffffff
 231: #000000, #c21cec, #ffffff
 232: #000000, #c21bed, #ffffff
 233: #000000, #c21aed, #ffffff
 234: #000000, #c802ed, #ffffff
 235: #000000, #c800ed, #ffffff
 236: #000000, #c70bed, #ffffff
 237: #000000, #c70aed, #ffffff
 238: #000000, #c709ed, #ffffff
 239: #000000, #c612ed, #ffffff
 240: #000000, #c611ed, #ffffff
 241: #000000, #c026e6, #ffffff
 242: #000000, #bf28e6, #ffffff
 243: #000000, #c702f2, #ffffff
 244: #000000, #c700f3, #ffffff
 245: #000000, #c11cef, #ffffff
 246: #000000, #c11af0, #ffffff
 247: #000000, #c60dec, #ffffff
 248: #000000, #c60cec, #ffffff
 249: #000000, #c60bec, #ffffff
 250: #000000, #c513ec, #ffffff
 251: #000000, #c512ec, #ffffff
 252: #000000, #c418ec, #ffffff
 253: #000000, #c31cec, #ffffff
 254: #000000, #c01bf1, #ffffff
 255: #000000, #c01af1, #ffffff
 256: #000000, #c319ef, #ffffff
 257: #000000, #c318ef, #ffffff
 258: #000000, #c315f0, #ffffff
 259: #000000, #c314f0, #ffffff
 260: #000000, #c804ed, #ffffff
 261: #000000, #c803ed, #ffffff
